,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
286,Tuy Hoa,13.08,109.3,81.1,80,100,11.41,VN,1596169186
287,San-Pédro,4.75,-6.64,74.28,88,100,5.44,CI,1596169186
288,Okato,-39.2,173.88,57.0,59,100,8.01,NZ,1596169186
289,Aktash,50.3,87.73,51.67,61,33,1.3,RU,1596169186
290,Perambalur,11.23,78.88,87.8,58,20,9.17,IN,1596169187
291,Upata,8.01,-62.4,79.0,86,12,1.01,VE,1596169187
292,Padang,-0.95,100.35,84.49,66,38,4.05,ID,1596169188
293,Ubari,26.59,12.78,79.84,27,0,10.98,LY,1596169188
294,Los Llanos de Aridane,28.66,-17.92,71.6,68,90,11.41,ES,1596169188
295,Provincia di Rimini,44.02,12.52,75.99,83,0,2.24,IT,1596169188
296,Bilibino,68.05,166.44,57.15,53,79,7.74,RU,1596169188
297,Verkhnevilyuysk,63.45,120.32,74.01,43,0,5.99,RU,1596169189
298,Aysha,55.87,48.63,69.8,68,29,6.71,RU,1596169189
299,Priargunsk,50.37,119.1,75.72,70,72,7.72,RU,1596169189
300,Camacha,33.08,-16.33,68.0,72,75,6.93,PT,1596168921
301,Pisco,-13.7,-76.22,57.0,87,1,4.7,PE,1596169189
302,Thinadhoo,0.53,72.93,83.07,76,61,9.35,MV,1596169190
303,Sittwe,20.15,92.9,85.44,75,3,8.12,MM,1596169190
304,Renqiu,38.7,116.09,95.49,41,11,7.49,CN,1596169190
305,Vostok,46.49,135.88,78.85,72,48,1.79,RU,1596169190
306,Kisangani,0.52,25.2,70.81,84,0,2.48,CD,1596169190
307,Alaşehir,38.35,28.52,75.07,54,0,1.66,TR,1596169192
308,Manggar,-2.88,108.27,83.14,66,64,11.86,ID,1596169192
309,Luanda,-8.84,13.23,69.8,94,75,4.7,AO,1596169192
310,Forsytheganj,52.63,29.73,54.91,86,79,6.82,BY,1596169192
311,Ambur,12.78,78.7,82.62,70,92,6.55,IN,1596169192
312,Havre-St-Pierre,50.23,-63.6,60.8,93,90,9.17,CA,1596169193
313,Siuna,13.73,-84.78,73.67,95,51,3.31,NI,1596169193
314,Leh,34.17,77.58,61.03,44,91,3.18,IN,1596169194
315,Distrikt Brokopondo,4.75,-55.17,76.6,84,11,3.51,SR,1596169194
316,Christchurch,-43.53,172.63,54.0,87,100,13.87,NZ,1596169117
317,Sisimiut,66.94,-53.67,44.33,86,98,7.18,GL,1596169195
318,Yulara,-25.24,130.99,73.4,8,0,9.17,AU,1596169196
319,Necochea,-38.55,-58.74,39.0,89,85,5.99,AR,1596169196
320,Zeya,53.75,127.27,73.15,83,100,3.2,RU,1596169196
321,Zangakatun,39.82,45.04,75.2,47,20,6.93,AM,1596169197
322,Sakakah,29.97,40.21,93.2,14,0,11.41,SA,1596169197
323,Araouane,18.9,-3.53,93.29,34,0,7.92,ML,1596169197
324,Talnakh,69.49,88.4,75.2,47,22,22.37,RU,1596169197
325,Guasdualito,7.24,-70.73,73.04,96,72,2.75,VE,1596169197
326,Morón,-34.65,-58.62,53.01,62,18,9.17,AR,1596169198
327,Caravelas,-17.71,-39.25,70.93,83,0,7.05,BR,1596169198
328,St. Marys,30.73,-81.55,78.01,100,1,6.93,US,1596169198
329,Tarakan,3.3,117.63,83.88,70,100,6.31,ID,1596169199
330,Kristiansund,63.11,7.73,57.2,87,0,4.7,NO,1596168946
331,Cértegui,5.37,-76.6,75.16,95,56,1.54,CO,1596169200
332,Asău,46.43,26.4,66.99,80,3,2.3,RO,1596169201
333,Upernavik,72.79,-56.15,43.21,72,72,4.92,GL,1596169201
334,Chernyshevskiy,63.01,112.47,69.37,46,56,9.31,RU,1596169201
335,Verkhoyansk,67.54,133.38,65.82,41,0,6.64,RU,1596169201
336,North Bend,43.41,-124.22,62.01,93,90,1.88,US,1596169201
337,Saint-Augustin,51.23,-58.65,57.22,91,99,11.52,CA,1596169202
338,Smoky Lake,54.12,-112.47,64.0,91,29,1.63,CA,1596169202
339,Lagunas,-5.23,-75.68,71.22,96,76,0.51,PE,1596169202
340,Susanville,40.42,-120.65,80.6,14,1,8.05,US,1596169035
341,Haines Junction,60.75,-137.51,67.62,51,0,5.28,CA,1596169203
342,Ratzeburg,53.7,10.77,54.0,84,47,5.19,DE,1596169203
